host,class,dead_url,wayback_snapshot,file,ref_num,notes
gamearchives.net,ssl-error,https://gamearchives.net/front-page-sports-ski-racing/,,Games/Sierra Sports/1998 - Sierra Sports Skiing 1999 Edition.md,13,
gamearchives.net,ssl-error,https://gamearchives.net/hoyle-poker-series/,,Games/Hoyle/2005 - Hoyle Texas Hold Em.md,8,
gamepressure.com,404,https://www.gamepressure.com/games/hoyle-swashbucklin-slots/zba66f,,Games/Hoyle/2011 - Hoyle Swashbucklin Slots.md,10,
gamepressure.com,404,https://www.gamepressure.com/games/return-of-the-incredible-machine-contraptions/z42a3f,,Games/Incredible Machine/2000 - Return of The Incredible Machine - Contraptions.md,36,
gamerant.com,404,https://gamerant.com/tribes-franchise-history/,,Games/Metaltech/2024 - Tribes 3 - Rivals.md,18,
gamesfirst.com,404,http://gamesfirst.com/reviews/craig/3DMini/3dmini.htm,,Games/3D Ultra/2010 - 3-D Ultra MiniGolf Adventures 2.md,8,
gamesfirst.com,404,https://gamesfirst.com/reviews/3d-ultra-minigolf/,,Games/3D Ultra/1997 - 3-D Ultra MiniGolf.md,2,
gamesindustry.biz,404,https://www.gamesindustry.biz/devolver-digital-acquires-stronghold-developer-firefly-studios,,Designers/Simon Bradbury.md,17,
gamesindustry.biz,404,https://www.gamesindustry.biz/the-european-games-industry-is-booming,,Publishers/Assemble Entertainment.md,13,
gamespot.fr,ssl-error,https://www.gamespot.fr,,Games/Homeworld/2015 - Homeworld Remastered Collection.md,40,
genotaur.com,404,http://www.genotaur.com/people/doug-johnson,,Designers/Doug Johnson.md,8,
github.com,404,https://github.com/FWGS/xash3d/issues/296,,Games/Valve/2000 - Gunman Chronicles.md,46,
github.com,404,https://github.com/firebirdblue23/ee-tweaks-mod,,Games/Empire Earth/2002 - Empire Earth - The Art of Conquest.md,34,
github.com,404,https://github.com/nicfab/otvdm,,Guides/Playing Sierra Games Today.md,7,
github.com,404,https://github.com/pixjuan/apple-ii-disassembly,,Games/Arcade/1981 - Sabotage.md,15,
google.com.auforum.cheatmasters.com,ssl-error,https://google.com.auforum.cheatmasters.com/psx2/swatgst.html,,Games/SWAT/2003 - SWAT - Global Strike Team.md,30,
grokipedia.com,404,https://grokipedia.com/page/Outpost,,Games/Outpost/1994 - Outpost.md,10,
hardcoregaming101.net,404,http://www.hardcoregaming101.net/agd-interactive/,,Games/Fan Games/2002 - King's Quest II+ - Romancing the Stones.md,11,
hardcoregaming101.net,404,http://www.hardcoregaming101.net/coktel-vision/,,Games/Adiboo/1992 - A.J.'s World of Discovery.md,16,
hardcoregaming101.net,404,http://www.hardcoregaming101.net/gobliiins/,,Publishers/Schnibble Productions.md,7,
hardcoregaming101.net,404,http://www.hardcoregaming101.net/gobliiins/,,Publishers/Coktel Vision - Sierra On-Line.md,5,
homeoftheunderdogs.net,404,http://www.homeoftheunderdogs.net/game.php?id=4579,,Games/Sierra Attractions/1997 - Eat My Dust.md,3,
homeoftheunderdogs.net,404,http://www.homeoftheunderdogs.net/game.php?id=98,,Games/Coktel/1992 - Bargon Attack.md,13,
homeoftheunderdogs.net,404,https://homeoftheunderdogs.net/company.php?name=Coktel%20Vision,,Games/Coktel/1991 - E.S.S. Mega.md,13,
homeoftheunderdogs.net,404,https://homeoftheunderdogs.net/game.php?id=4484,,Games/Fan Games/2003 - Space Quest 0 - Replicated.md,6,
homeoftheunderdogs.net,404,https://homeoftheunderdogs.net/game.php?id=4600,,Games/Lords of the Realm/1996 - Lords of the Realm II.md,42,
hookedgamers.com,404,https://www.hookedgamers.com/pc/ground_control_ii_operation_exodus/cheats.html,,Games/Ground Control/2004 - Ground Control II - Operation Exodus.md,35,
howlongtobeat.com,404,https://howlongtobeat.com/game/8868,,Games/Space Quest/1995 - Space Quest 6 - Roger Wilco in the Spinal Frontier.md,16,
ifwizz.de,404,https://ifwizz.de/gelfling-adventure-(1984-en,,Games/Hi-Res/1984 - Gelfling Adventure.md,4,
ign.com,404,https://www.ign.com/articles/1997/06/15/sierra-casual-games,,Games/3D Ultra/1997 - 3-D Ultra MiniGolf.md,20,
ign.com,404,https://www.ign.com/articles/2001/01/12/3d-ultra-pinball-thrillride,,Games/3D Ultra/1995 - 3-D Ultra Pinball.md,14,
ign.com,404,https://www.ign.com/articles/2014/05/26/revisiting-kings-quest-iv-the-perils-of-rosella,,Games/King's Quest/1988 - King's Quest IV - The Perils of Rosella.md,12,
ign.com,404,https://www.ign.com/articles/tribes-3-rivals-preview,,Games/Metaltech/2024 - Tribes 3 - Rivals.md,17,
ign.com,404,https://www.ign.com/companies/assemble-entertainment,,Publishers/Assemble Entertainment.md,8,
ign.com,404,https://www.ign.com/companies/gearbox-publishing,,Publishers/Gearbox Publishing.md,9,
ign.com,404,https://www.ign.com/companies/himalaya-studios,,Publishers/Himalaya Studios.md,10,
ign.com,404,https://www.ign.com/companies/infamous-quests,,Publishers/Infamous Quests.md,10,
ign.com,404,https://www.ign.com/games/3d-ultra-pinball,,Games/3D Ultra/1995 - 3-D Ultra Pinball.md,5,
ign.com,404,https://www.ign.com/games/tribes-2,,Games/Metaltech/2001 - Tribes 2.md,21,
indiedb.com,404,https://www.indiedb.com/company/agd-interactive,,Publishers/AGD Interactive.md,15,
indiedb.com,404,https://www.indiedb.com/company/infamous-adventures,,Publishers/Infamous Adventures.md,15,
